Course,Status,Instructor,Section Details
AAI 551-A - Engineering Programming: Python,Engineering Programming: Python,Open,
AAI 551-B - Engineering Programming: Python,Engineering Programming: Python,Open,
AAI 551-C - Engineering Programming: Python,Engineering Programming: Python,Open,
AAI 551-WS - Engineering Programming: Python,Engineering Programming: Python,Open,
AAI 551-WS1 - Engineering Programming: Python,Engineering Programming: Python,Open,
AAI 595-A - Applied Machine Learning,Applied Machine Learning,Open,
AAI 595-B - Applied Machine Learning,Applied Machine Learning,Open,
AAI 595-WS - Applied Machine Learning,Applied Machine Learning,Open,
AAI 595-WS1 - Applied Machine Learning,Applied Machine Learning,Open,
AAI 627-A - Data Acquisition/Modeling/Analys,Data Acquisition/Modeling/Analys,Open,
AAI 627-WS - Data Acquisition/Modeling/Analys,Data Acquisition/Modeling/Analys,Open,
AAI 628-WS - Data Acquisition: Deep Learning,Data Acquisition: Deep Learning,Open,
AAI 646-A - Pattern Recognition & Classification,Pattern Recognition & Classification,Open,
AAI 646-WS - Pattern Recognition & Classification,Pattern Recognition & Classification,Open,
AAI 708-A - Practicum in AAI,Practicum in AAI,Open,
AAI 800-A - Special Prob in AAI(Masters),Special Prob in AAI(Masters),Open,
AAI 900-A - Thesis in AAI (Masters),Thesis in AAI (Masters),Open,
AAI 900-B - Thesis in AAI (Masters),Thesis in AAI (Masters),Open,
AAI 900-C - Thesis in AAI (Masters),Thesis in AAI (Masters),Open,
ACC 200-A - Principles of Financial Accounting,Principles of Financial Accounting,Open,
ACC 200-B - Principles of Financial Accounting,Principles of Financial Accounting,Open,
ACC 200-C - Principles of Financial Accounting,Principles of Financial Accounting,Open,
ACC 311-A - Intermediate Accounting I,Intermediate Accounting I,Open,
ACC 351-A - Federal Taxation of Individuals,Federal Taxation of Individuals,Waitlist,
ACC 431-A - Advanced Accounting,Advanced Accounting,Open,
ACC 510-A - Financial Statement Analysis,Financial Statement Analysis,Open,
ACC 510-B - Financial Statement Analysis,Financial Statement Analysis,Open,
ACC 510-C - Financial Statement Analysis,Financial Statement Analysis,Open,
ACC 535-A - Accounting Data Analytics,Accounting Data Analytics,Open,
ACC 560-WS - Federal Taxation of Individuals for Financial Planning,Federal Taxation of Individuals for Financial Planning,Open,
ACC 590-A - Accounting Regulations: Research & Applications,Accounting Regulations: Research & Applications,Open,
ACC 702-A - Practicum in Accounting and Analytics,Practicum in Accounting and Analytics,Open,
"BIA 500-A - Bus Analytics: Data,Models,Decisions","Bus Analytics: Data,Models,Decisions",Open,
"BIA 500-B - Bus Analytics: Data,Models,Decisions","Bus Analytics: Data,Models,Decisions",Open,
BIA 568-A - Management of AI Technologies,Management of AI Technologies,Open,
BIA 580-A - Foundations of Business Analytics,Foundations of Business Analytics,Open,
BIA 580-B - Foundations of Business Analytics,Foundations of Business Analytics,Open,
BIA 610-A - Applied Analytics,Applied Analytics,Open,
BIA 610-B - Applied Analytics,Applied Analytics,Open,
BIA 650-A - Optimization & Proc. Analytics,Optimization & Proc. Analytics,Open,
BIA 650-WS - Optimization & Process Analytics,Optimization & Process Analytics,Open,
BIA 652-A - Multivariate Data Analysis I,Multivariate Data Analysis I,Open,
BIA 652-WS - Multivariate Data Analysis I,Multivariate Data Analysis I,Open,
BIA 654-A - Experimental Design II,Experimental Design II,Open,
BIA 654-WS - Experimental Design II,Experimental Design II,Open,
BIA 658-WS1 - Social Network Analytics and Visualization,Social Network Analytics and Visualization,Open,
BIA 660-A - Web Mining,Web Mining,Open,
BIA 660-B - Web Mining,Web Mining,Open,
BIA 660-WS - Web Mining,Web Mining,Open,
BIA 672-A - Marketing Analytics,Marketing Analytics,Open,
BIA 672-B - Marketing Analytics,Marketing Analytics,Open,
BIA 672-WS - Marketing Analytics,Marketing Analytics,Open,
BIA 674-A - Supply Chain Analytics,Supply Chain Analytics,Closed,
BIA 674-WS - Supply Chain Analytics,Supply Chain Analytics,Open,
BIA 678-A - Big Data Technologies,Big Data Technologies,Open,
BIA 678-B - Big Data Technologies,Big Data Technologies,Open,
BIA 678-WS - Big Data Technologies,Big Data Technologies,Open,
BIA 686-WS - Practicum in Analytics,Practicum in Analytics,Open,
BIA 702-A - Practicum in BI&A,Practicum in BI&A,Open,
BIA 810-A - Developing Business Applications Using GenAI,Developing Business Applications Using GenAI,Open,
BIA 810-B - Special Topics in BIA,Special Topics in BIA,Open,
BIO 181-A - Biology and Biotechnology,Biology and Biotechnology,Open,
BIO 181-B - Biology and Biotechnology,Biology and Biotechnology,Open,
BIO 182-A - Biology and Biotechnology Laboratory,Biology and Biotechnology Laboratory,Open,
BIO 182-B - Biology and Biotechnology Laboratory,Biology and Biotechnology Laboratory,Open,
BIO 182-C - Biology and Biotechnology Laboratory,Biology and Biotechnology Laboratory,Open,
BIO 182-D - Biology and Biotechnology Laboratory,Biology and Biotechnology Laboratory,Open,
BIO 290-A - Cell and Molecular Biology,Cell and Molecular Biology,Open,
BIO 292-A - Cell and Molecular Biology Laboratory,Cell and Molecular Biology Laboratory,Open,
BIO 292-B - Cell and Molecular Biology Laboratory,Cell and Molecular Biology Laboratory,Open,
BIO 292-C - Cell and Molecular Biology Laboratory,Cell and Molecular Biology Laboratory,Open,
BIO 301-A - Professional Ethics for Scientific Research,Professional Ethics for Scientific Research,Closed,
BIO 301-B - Professional Ethics for Scientific Research,Professional Ethics for Scientific Research,Open,
BIO 382-A - Biological Systems,Biological Systems,Open,
BIO 382-LA - Biological Systems,Biological Systems,Closed,
BIO 382-LB - Biological Systems,Biological Systems,Open,
BIO 382-LC - Biological Systems,Biological Systems,Open,
BIO 484-A - Genetics,Genetics,Open,
BIO 484-LA - Genetics,Genetics,Open,
BIO 484-LB - Genetics,Genetics,Open,
BIO 498-A - Senior Capstone Research Project I,Senior Capstone Research Project I,Open,
BIO 498-B - Senior Capstone Research Project I,Senior Capstone Research Project I,Open,
BIO 498-C - Senior Capstone Research Project I,Senior Capstone Research Project I,Open,
BIO 498-D - Senior Capstone Research Project I,Senior Capstone Research Project I,Open,
BIO 498-E - Senior Capstone Research Project I,Senior Capstone Research Project I,Open,
BIO 498-F - Senior Capstone Research Project I,Senior Capstone Research Project I,Open,
BIO 498-G - Senior Capstone Research Project I,Senior Capstone Research Project I,Open,
BIO 498-H - Senior Capstone Research Project I,Senior Capstone Research Project I,Open,
BIO 498-I - Senior Capstone Research Project I,Senior Capstone Research Project I,Open,
BIO 498-J - Senior Capstone Research Project I,Senior Capstone Research Project I,Open,
BIO 498-K - Senior Capstone Research Project I,Senior Capstone Research Project I,Open,
BIO 498-L - Senior Capstone Research Project I,Senior Capstone Research Project I,Closed,
BIO 498-M - Senior Capstone Research Project I,Senior Capstone Research Project I,Open,
BIO 507-WS - Applications of Statistics in Biomedical Engineering and Health Sciences,Applications of Statistics in Biomedical Engineering and Health Sciences,Open,
BIO 568-A - Computational Biology,Computational Biology,Open,
BIO 568-A-U - Computational Biology,Computational Biology,Open,
BIO 583-A - Physiology,Physiology,Open,
BIO 583-A-U - Physiology,Physiology,Open,
BIO 683-A - Microscopy Imaging in Biological Systems,Microscopy Imaging in Biological Systems,Open,
BIO 684-A - Molecular Bio Laboratory Technqs,Molecular Bio Laboratory Technqs,Open,
BIO 687-A - Molecular Genetics,Molecular Genetics,Open,
BIO 800-A - Special Rsrch Prob in Chem Bio,Special Rsrch Prob in Chem Bio,Open,
BIO 800-B - Special Rsrch Prob in Chem Bio,Special Rsrch Prob in Chem Bio,Open,
BIO 800-C - Special Research Problems in Chemical Biology,Special Research Problems in Chemical Biology,Open,
BIO 800-E - Special Research Problems in Chemical Biology,Special Research Problems in Chemical Biology,Open,
BIO 900-A - Masters Thesis in Chem. Biology,Masters Thesis in Chem. Biology,Open,
BIO 900-B - Master’s Thesis in Chemical Biology,Master’s Thesis in Chemical Biology,Open,
BME 306-A - Introduction to Biomedical Engr.,Introduction to Biomedical Engr.,Open,
BME 306-B - Introduction to Biomedical Engr.,Introduction to Biomedical Engr.,Open,
BME 312-A - Biomaterials in Medical Device Design,Biomaterials in Medical Device Design,Open,
BME 312-B - Biomaterials in Medical Device Design,Biomaterials in Medical Device Design,Open,
BME 313-A - Biomaterials in Medical Device Design Laboratory,Biomaterials in Medical Device Design Laboratory,Open,
BME 313-B - Biomaterials in Medical Device Design Laboratory,Biomaterials in Medical Device Design Laboratory,Closed,
BME 313-C - Biomaterials in Medical Device Design Laboratory,Biomaterials in Medical Device Design Laboratory,Closed,
BME 423-A - Engineering Design VII,Engineering Design VII,Open,
BME 423-B - Engineering Design VII,Engineering Design VII,Closed,
BME 460-A - Biomed Digital Signal Process Lab,Biomed Digital Signal Process Lab,Open,
BME 460-B - Biomed Digital Signal Process Lab,Biomed Digital Signal Process Lab,Open,
BME 465-A - Principles of Biomedical Imaging,Principles of Biomedical Imaging,Open,
BME 498-A - Research in BME I,Research in BME I,Open,
BME 498-LA - Research in BME I,Research in BME I,Open,
BME 502-A - Physiology for Engineers I,Physiology for Engineers I,Open,
BME 502-A-U - Physiology for Engineers I,Physiology for Engineers I,Open,
BME 502-B - Physiology for Engineers I,Physiology for Engineers I,Open,
BME 502-B-U - Physiology for Engineers I,Physiology for Engineers I,Open,
BME 505-A - Biomaterials,Biomaterials,Open,
